country	Solomon Islands	#d06226
country	Somalia	#30bf4c
country	South Africa	#18e592
country	South Korea	#a2953b
country	South Sudan	#30bf7a
country	Spain	#3c979e
country	Sri Lanka	#60bf30
country	St. Lucia	#3833b9
country	Sudan	#33b979
country	Suriname	#2e34c3
country	Sweden	#3f8b7a
country	Switzerland	#3d988d
country	Syria	#3aa461
country	Taiwan	#afae37
country	Tajikistan	#4da03c
country	Tanzania	#28ce6d
country	Thailand	#8db833
country	Timor-Leste	#d0c026
country	Togo	#30bebe
country	Trinidad	#3731bd
country	Trinidad and Tobago	#3731bc
country	Tunisia	#3aa597
country	Turkey	#3ca064
country	Uganda	#2dc575
country	Ukraine	#3e9569
country	Union of the Comoros	#24d454
country	United Arab Emirates	#37b044
country	United Kingdom	#3f8c90
country	Uruguay	#141ee9
country	USA	#7f3ca0
country	Uzbekistan	#429e3c
country	Vanuatu	#d84521
country	Venezuela	#4130bf
country	Vietnam	#9bb734
country	Yemen	#34b750
country	Zambia	#22d686
country	Zimbabwe	#20da80
country	unassigned	#AAAAAA

division	Aalst	#3e948f
division	Aargau	#3e978d
division	Aatalunya	#3c9d9c
division	Abadan	#39a950
division	Abia	#2ec2b2
division	Abidjan	#2eb6c2
division	Abruzzo	#3c9d88
division	Abu Dhabi	#37af44
division	Abuja	#30beaf
division	Aceh	#89c32e
division	Acre	#4726d0
division	Ad-Dawhah	#37ae49
division	Adamaoua	#2fc0a5
division	Adamawa	#31bea3
division	Adan	#39aa51
division	Adana	#3ba267
division	Addis Ababa	#30be64
division	Addu	#4cc82b
division	Adıyaman	#3ba161
division	Adjara	#3c9d5a
division	Adrar	#38a8ad
division	Adygea	#3d9a5d
division	Aegean Islands	#3ba17f
division	Afghanistan	#44a53a
division	Africa	#2ec38f
division	Afyon	#3ca06e
division	Agadez	#34b6a7
division	Agadir	#3995a9
division	Agder	#3f8c83
division	Agri	#3c9f59
division	Aguascalientes	#9036b1
division	Agusan del Norte	#beb230
division	Ahmadi	#39aa51
division	Ahvaz	#39a850
division	Aichi	#a4863b
division	Akita	#9f7e3c
division	Akkar	#3aa466
division	Akmola Region	#4b933e
division	Aksaray	#3ba069
division	Aktobe Region	#3e9742
division	Akwa-Ibom	#2ec2b1
division	Al Asimah	#39aa50
division	Al-Muthanna Province	#39a856
division	Al-Najaf-Al-Ashraf	#3aa758
division	Al Wusta	#35b33e
division	Alabama	#6d3aa7
division	Alagoas	#2666d1
division	Alajuela	#6d31bd
division	Alaska	#85405e
division	Alba	#3d9976
division	Albania	#3c9e7f
division	Alberta	#8b3f90
division	Alborz Province	#3ba34c
division	Aleppo	#3ba363
division	Alexandria	#39a872
division	Alger	#3ba29f
division	Algeria	#38aba7
division	Algiers	#3ba29f
division	Alif Alif Atoll	#4cc32e
division	Alifu Dhaalu Atoll	#4cc42e
division	Almaty	#579c3d
division	Aloatra-Mangoro	#20d946
division	Alta Verapaz	#7a33b8
division	Altai Krai	#5d923e
division	Alto Paraguay	#201edc
division	Alto Paraná	#1a27e1
division	Alytaus Apskritis	#3f9071
division	Alytus	#3f9071
division	Amapa	#2c3ec6
division	Amazonas BR	#3629cc
division	Amazonas PE	#5e29cc
division	Amazonas VE	#402dc4
division	American Samoa	#d62338
division	Amhara	#32bc65
division	Amman	#3aa767
division	Amnat Charoen	#95b734
division	Amoron'i Mania	#1edc4b
division	Amur Region	#92753e
division	Amyntaio	#3c9e7c
division	An Giang	#99bd31
division	Analamanga	#20da49
division	Analanjirofo	#21d843
division	Anambra	#2fc1b2
division	Ancash	#5c26d1
division	Ancona	#3d9b88
division	Andalusia	#3b98a1
division	Andaman and Nicobar Islands	#7cbb32
division	Andel	#3e938d
division	Andhra Pradesh	#5eb734
division	Andorra	#3c9c9b
division	Ang Thong	#8cb933
division	Angola	#25d3af
division	Anguilla	#3e35b5
division	Anhui	#a1a73a
division	Ankara	#3c9f6a
division	Anse Au Pins	#29cc37
division	Anse Etoile	#29cc37
division	Anse Royale	#29cc37
division	Antalya	#3ba26f
division	Antigua	#3b34b6
division	Antigua and Barbuda	#3b34b6
division	Antioquia	#582fc1
division	Antofagasta	#421cdf
division	Antsiranana	#24d445
division	Antwerpen	#3e948f
division	Anzoátegui	#3e30be
division	Aomori	#9e7d3c
division	Aosta Valley	#3d998f
division	Appenzell Ausserrhoden	#3e978b
division	Appenzell Innerrhoden	#3d978b
division	Apulia	#3c9e84
division	Apure	#482fc0
division	Apurimac	#4e23d6
division	Aqaba	#39a969
division	Arad	#3d997a
division	Aragon	#3c9a9d
division	Aragua	#4531bd
division	Arak	#3aa54e
division	Arauca	#4d2fc1
division	Araucanía	#420fee
division	Ardabil	#3ba051
division	Arequipa	#4921d8
division	Argentina	#2713ea
division	Arges	#3d9a75
division	Ariana	#3ba292
division	Arica and Parinacota	#4220da
division	Aridaia	#3c9e7b
division	Arizona	#993aa5
division	Arkansas	#753ba4
division	Arkhangelsk Region	#408657
division	Arlon	#3e958e
division	Armenia	#3c9e56
division	Arnissa	#3c9e7c
division	Artigas	#161ce6
division	Aruba	#4c32bb
division	Arunachal Pradesh	#79ab38
division	Arusha	#2acb6a
division	Ashanti Region	#2fbac0
division	Ashdod	#3aa769
division	Asia	#6aa939
division	Assam	#77ad38
division	Astana	#4e943e
division	Astrakhan Region	#3d9851
division	Asturias	#3d909c
division	Asuncion	#1b1ee1
division	Aswan Governorate	#37b070
division	Atacama	#3f19e3
division	Atacora	#31bdbb
division	Ath	#3e9490
division	Athens	#3ba17a
division	Atlantico	#5731bd
division	Atlántida	#7234b7
division	Atlantique	#2fc1be
division	Atsimo-Andrefana	#1cdf51
division	Atsinanana	#1fda44
division	Attapeu	#9bb833
division	Attica	#3ba17a
division	Attock	#4fa53a
division	Atyrau Region	#3e974c
division	Auckland	#ed2411
division	Auderghem	#3e948f
division	Augsburg	#3e9688
division	Australia	#e0b11b
division	Australian Capital Territory	#eb8312
division	Austria	#3e9783
division	Auvergne-Rhône-Alpes	#3d9994
division	Awdal	#31bd59
division	Ayacucho	#5123d6
division	Aysén	#4709f6
division	Ayutthaya	#8cb933
division	Azad Kashmir	#54a53a
division	Azerbaijan	#3c9e51
division	Azuay	#612aca
division	Ba Ria-Vung Tau	#9ebd31
division	Baalbeck Hermel	#3aa566
division	Bac Giang	#95b236
division	Bac Lieu	#9bbe30
division	Bac Ninh	#94b236
division	Bacau	#3d9871
division	Bács-Kiskun County	#3d987c
division	Baden-Wuerttemberg	#3e968a
division	Bafoussam	#2fc2ab
division	Baghdad	#3aa657
division	Bagherhat	#72b036
division	Baglung	#63ab38
division	Bagmati	#68ac38
division	Bahamas	#5e37ae
division	Bahia	#2456d4
division	Bahrain	#38ad4c
division	Baie-Mahault	#3a34b7
division	Baie St Anne Praslin	#29cc36
division	Baja California	#a339a9
division	Baja California Sur	#a037ad
division	Baja Verapaz	#7a33b8
division	Baker Island	#c72c30
division	Bakhar	#47ad38
division	Balassagyarmat	#3e977b
division	Balatonfured	#3d987e
division	Balear Islands	#3ca09c
division	Bali	#c1d026
division	Balikesir	#3c9f72
division	Balochistan	#43ab38
division	Balti	#3e976f
division	Balzers	#3d988b
division	Bamako	#32a6bb
division	Bandung	#abce27
division	Bangkok	#8db933
division	Bangladesh	#72af37
division	Bangsamoro Autonomous Region In Muslim Mindanao	#c1c12f
division	Bangui	#2ec397
division	Banovce nad Bebravou	#3e967d
division	Banska Bystrica	#3e967b
division	Banten	#a5ce28
division	Bar	#3c9d80
division	Barahona	#5035b5
division	Baranya County	#3d997e
division	Barbados	#3432ba
division	Barcelona	#3c9d9c
division	Barinas	#4b30bf
division	Baringo	#2cc76c
division	Barishal	#73b036
division	Bartosova Lehotka	#3e967c
division	Basel-Land	#3e978d
division	Basel-Stadt	#3e978d
division	Bashkortostan	#3f9043
division	Basilicata	#3c9e86
division	Basque Country	#3d979c
division	Basse	#3297ba
division	Basse-Terre	#3a34b7
division	Bastogne	#3e958e
division	Bat Yam	#3aa769
division	Batizovce	#3e9679
division	Batna	#3ba39a
division	Bauchi	#31bda7
division	Bavaria	#3e9787
division	Bay of Plenty	#ee1c10
division	Bayanga	#2dc49e
division	Bayelsa State	#2ec3b6
division	Beau Vallon	#29cc37
division	Beijing	#989f3c
division	Beirut	#3aa567
division	Beit Shemesh	#3aa769
division	Beja	#3b92a1
division	Bejaia	#3ba29b
division	Bekaa	#3aa567
division	Békés County	#3d987a
division	Bekesszentandras	#3d987a
division	Bela nad Cirochou	#3e9677
division	Belarus	#3e926c
division	Belgium	#3e948f
division	Belgorod Region	#3e945f
division	Belgrade	#3d9a7c
division	Belize	#7634b6
division	Belmopan	#7634b6
division	Ben Arous	#3ba292
division	Benadir	#2dc554
division	Bengkulu	#9bcb29
division	Bengo	#26d0ab
division	Beni	#3623d6
division	Beni Mellal	#3a99a7
division	Benin	#30bebb
division	Bentre	#9dbd31
division	Benue State	#2fc0ad
division	Beograd	#3d9a7c
division	Beoumi	#30b0c0
division	Beqaa Governorate	#3aa567
division	Berane	#3d9c7e
division	Berea	#17e589
division	Berlin	#3e9281
division	Bermuda	#453aa7
division	Bern	#3d988e
division	Berrechid	#3a96a6
division	Bethlehem	#3aa768
division	Beyla	#30a8be
division	Bhaktapur	#68ab38
division	Bhutan	#72ab38
division	Bicol	#bab332
division	Bicol Region	#bab332
division	Bie	#24d4a3
division	Bielsk Podlaski	#3e9273
division	Bihac	#3d9a83
division	Bihar	#68ae37
division	Bihor	#3d9878
division	Bijelo Polje	#3d9c7e
division	Binh Thuan	#9fbc31
division	Binhdinh	#9fb933
division	Binhduong	#9cbc31
division	Binhphuoc	#9cbb32
division	Biobío	#4311ed
division	Bioko Norte	#2ec4b0
division	Bioko Sur	#2dc4b1
division	Bishkek	#539c3d
division	Biskra	#3ba49c
division	Bizerte	#3ba292
division	Bjelovar-Bilogora County	#3d9981
division	Black River	#1edc29
division	Blagoevgrad	#3c9d79
division	Blekinge	#3f8f7b
division	Blida	#3ba29f
division	Boa Vista	#3483b7
division	Bobonong	#1dde85
division	Bobrov	#3e957a
division	Bocas del Toro	#6830be
division	Boeny	#21d84e
division	Boffa	#319abd
division	Bogota	#542ec3
division	Bohol	#bdb431
division	Boipelego	#1dde8e
division	Boke	#3199bc
division	Bokeo	#89b335
division	Bolikhamxay	#92b535
division	Bolivar	#5630be
division	Bolivar CO	#5931bd
division	Bolivar EC	#612bc9
division	Bolivar VE	#3c30bf
division	Bolivia	#3421d9
division	Bologna	#3d9a8a
division	Bomet	#2bc86e
division	Bonaire	#4832bb
division	Bong	#2fa6c0
division	Bongolava	#20da4d
division	Bono East Region	#30babf
division	Bono Region	#30b7c0
division	Bonoua	#2eb7c2
division	Bonthe	#309fc0
division	Bordj-Bou-Arreridj	#3ba39c
division	Borgou	#31beb9
division	Borno State	#32bb9f
division	Boromo	#32b2bb
division	Borsod-Abaúj-Zemplén County	#3e9679
division	Bosnia and Herzegovina	#3d9b81
division	Boteti	#1edc92
division	Botha Bothe	#18e487
division	Botosani	#3e9770
division	Botswana	#1cdf92
division	Bouafle	#2fb0c0
division	Bouaké	#30b1c0
division	Boucle Du Mouhoun	#32b0bb
division	Boucle du Mouhoun Region	#32b1bb
division	Boufarik	#3ba29f
division	Bouira	#3ba39e
division	Bourgogne	#3d9893
division	Bourgogne-France-Comté	#3d9891
division	Boyaca	#532ec2
division	Brabant Wallon	#3e948f
division	Brahmanbaria	#74af37
division	Braila	#3d9a70
division	Braine-l'Alleud	#3e948f
division	Brandenburg	#3e9281
division	Braničevo District	#3d9a7a
division	Brasov	#3d9973
division	Bratislava	#3e977f
division	Brava	#337fb8
division	Brazil	#2535d2
division	Brazilian Cruise	#2167d8
division	Brazzaville	#29cca5
division	Bremen	#3e9287
division	Brest Region	#3e9270
division	Bretagne	#3e9197
division	Breza	#3d9b80
division	British Columbia	#913f88
division	British Virgin Islands	#4135b5
division	Brod-Posavina County	#3d9a7f
division	Brugge	#3e9490
division	Brunei	#b5c32e
division	Brussels	#3e948f
division	Bryansk	#3e9265
division	Bryansk Oblast	#3e9265
division	Bucharest	#3d9a73
division	Budapest	#3e977c
division	Bueng Kan	#91b535
division	Buenos Aires	#1314ea
division	Bujumbura	#2acb7e
division	Bukhara Region	#419f3c
division	Bulawayo	#1edc84
division	Bulgaria	#3d9c75
division	Bumthang	#72ab38
division	Bungoma	#2cc76f
division	Buraimi	#37af41
division	Burgas	#3c9c72
division	Burgenland	#3e9780
division	Buriram	#92b833
division	Burkina Faso	#32b4ba
division	Bursa	#3c9f70
division	Burundi	#2acb7d
division	Buryatia	#82923e
division	Bushehr	#39aa4a
division	Busia	#2cc770
division	Busia KE	#2cc770
division	Buskerud	#3f8b7e
division	Buyo	#2fadc1
division	Buzau	#3d9a72
division	Ca Mau	#9abe30
division	Caaguazu	#1a23e1
division	Caazapá	#1a23e2
division	Cabinda	#29ccad
division	Cabo Delgado	#24d463
division	Cabo Verde	#3480b7
division	Cacak	#3d9b7c
division	Cagayan Valley	#b5b234
division	Cahul	#3d996f
division	Cairo	#39a970
division	Cajamarca	#6028ce
division	Calabarzon	#b9b733
division	Calabria	#3ca086
division	Calarasi	#3d9b71
division	Caldas	#582ec2
division	Cali	#5a2dc4
division	California	#a33ba0
division	Callao	#5a24d4
division	Cambodia	#97ba32
division	Cameroon	#2ec3a4
division	Camp Lemonnier	#32bc5a
division	Campania	#3c9e87
division	Campeche	#7735b4
division	Canada	#7d3f8a
division	Canakkale	#3c9f74
division	Cañar	#602aca
division	Canary Islands	#3889ab
division	Canelones	#131dea
division	Canindeyu	#1b27e0
division	Cantabria	#3d949c
division	Canterbury	#f32a0b
division	Cantho	#9abd31
division	Cao Bang	#93b036
division	Capital And Coast	#f1210d
division	Capital Governorate	#38ad4b
division	Capital Region	#406c86
division	Caqueta	#542cc6
division	Carabobo	#4731bd
division	Caraga	#beb130
division	Carchi	#5f2cc6
division	Carinthia	#3d9885
division	Carlow	#3e8792
division	Carlsbad	#3e9583
division	Cartago CO	#592ec3
division	Cartago CR	#6c31bd
division	Casablanca	#3a96a5
division	Casanare	#4e2fc2
division	Cascades	#31b0bd
division	Caslavice	#3e9680
division	Castel di Sangro	#3c9d88
division	Castilla la Mancha	#3c99a0
division	Castilla y Leon	#3c949d
division	Catalunya	#3c9d9c
division	Catamarca	#3619e3
division	Cauca	#5b2dc5
division	Causeni	#3d986d
division	Cavan	#3f8591
division	Cayman Islands	#6235b3
division	Cayo	#7634b6
division	Cazin	#3d9a83
division	Ceará	#285ecd
division	Čelinac	#3d9a81
division	Celje	#3d9983
division	Center Kalimantan	#b8ca2a
division	Central	#23d573
division	Central African Republic	#2fc092
division	Central Banat District	#3d997b
division	Central Bohemian Region	#3e9581
division	Central District BW	#1ddd8c
division	Central District IL	#3aa769
division	Central Greece	#3ca07b
division	Central Hungary	#3e977c
division	Central Jakarta	#a8ce28
division	Central Java	#b2cd28
division	Central Kenya	#2bc869
division	Central Luzon	#b8b733
division	Central Macedonia	#3c9e7a
division	Central Nepal	#68ab38
division	Central Paraguay	#1a1ee1
division	Central Province	#60c02f
division	Central Region	#2fbcc2
division	Central Region GH	#2fbcc2
division	Central Region MW	#23d573
division	Central Region UG	#2bc878
division	Central Serbia	#3d9b7c
division	Central Sudan	#33b96b
division	Central Sulawesi	#c9c82b
division	Central Uganda	#2cc775
division	Central Visayas	#bdb531
division	Central Zambia	#23d682
division	Centrale Region TG	#30bfbf
division	Centre	#32b5bb
division	Centre BF	#32b5bb
division	Centre CM	#2ec3a9
division	Centre Region	#2ec3a7
division	Centre-Val de Loire	#3e9796
division	Cerro Largo	#1524e8
division	Cesar	#5431be
division	Cetinje	#3c9c80
division	Ceuta	#3b98a3
division	Chachoengsao	#8fba33
division	Chaco	#211ae2
division	Chad	#33b890
division	Chai Nat	#8bb833
division	Chaiyaphum	#8eb734
division	Chalatenango	#7733b9
division	Chalkidiki	#3c9f7a
division	Chandigarh	#57a839
division	Changhua County	#afaf37
division	Chanthaburi	#91ba32
division	Charleroi	#3e948f
division	Charles Hill	#1ddea0
division	Chattogram	#76b136
division	Cheb	#3e9584
division	Chechen	#3d9b54
division	Chechen Republic	#3d9b54
division	Chelyabinsk	#3f903f
division	Cherkasy	#3e9669
division	Chernihiv Region	#3e9368
division	Chernivtsi	#3e9771
division	Chhattisgarh	#62b136
division	Chiang Mai	#87b435
division	Chiang Rai	#88b335
division	Chiapas	#7e34b7
division	Chiayi City	#b0af37
division	Chiba	#a3813b
division	Chihuahua	#9339aa
division	Chile	#4215e7
division	Chimaltenango	#7b33b9
division	Chimborazo	#602ac9
division	China	#89a63a
division	Chiquimula	#7833b8
division	Chiriqui	#6930bf
division	Chisinau	#3d986e
division	Chobe District	#20da90
division	Choco	#5c2fc2
division	Choluteca	#7332ba
division	Choma	#21d888
division	Chonburi	#8eba32
division	Chongqing	#91a939
division	Chtouka	#3a95a6
division	Chubu	#a4873b
division	Chubut	#320bf4
division	Chukha	#70ac38
division	Chukotka Autonomous Okrug	#854c40
division	Chungcheongnam	#a2973b
division	Chuquisaca	#341fdb
division	Chushikoku	#a58e3a
division	Chuvash Republic	#3f8f51
division	Chyne	#3e9581
division	Cimislia	#3d986e
division	Clare	#3e8492
division	Cluj	#3d9875
division	Cluj Napoca	#3d9876
division	Coahuila	#8c38ac
division	Cochabamba	#3820d9
division	Cocle	#6430bf
division	Coimbra	#3c8f9f
division	Colima	#9535b4
division	Colombia	#532dc4
division	Colombo	#5ec02f
division	Colon	#6330be
division	Colón Department	#6f33b7
division	Colon Province	#6330be
division	Colonia	#1316ea
division	Colorado	#8a3c9f
division	Comayagua	#7433b9
division	Comines	#3d9985
division	Comunitat Valenciana	#3c9da0
division	Conakry	#319bbe
division	Concepción	#1c21de
division	Connecticut	#533c9d
division	Constanta	#3d9b6f
division	Constituency of Limerick	#3e8592
division	Copán	#7733b8
